,0
382,1.9088030476190476
383,1.9088030476190476
384,1.9088030476190476
385,1.9088030476190476
386,1.9088030476190476
387,1.9088030476190476
388,1.9088030476190476
389,1.9088030476190476
390,1.9088030476190476
391,1.9088030476190476
392,1.9088030476190476
393,1.9088030476190476
394,1.9088030476190476
395,1.9088030476190476
396,1.9088030476190476
397,1.9088030476190476
398,1.9088030476190476
399,1.9088030476190476
400,1.9088030476190476
401,1.9088030476190476
402,1.9088030476190476
403,1.9088030476190476
404,1.9088030476190476
405,1.9088030476190476
406,1.9088030476190476
407,1.9088030476190476
408,1.9088030476190476
409,1.9088030476190476
410,1.9088030476190476
411,1.9088030476190476
412,1.9088030476190476
413,1.9088030476190476
414,1.9088030476190476
415,1.9088030476190476
416,1.9088030476190476
417,1.9088030476190476
418,1.9088030476190476
419,1.9088030476190476
420,1.9088030476190476
421,1.9088030476190476
422,1.9088030476190476
423,1.9088030476190476
424,1.9088030476190476
425,1.9088030476190476
426,1.9088030476190476
427,1.9088030476190476
428,1.9088030476190476
429,1.9088030476190476
430,1.9088030476190476
431,1.9088030476190476
432,1.9088030476190476
433,1.9088030476190476
434,1.9088030476190476
435,1.9088030476190476
436,1.9088030476190476
437,1.9088030476190476
438,1.9088030476190476
439,1.9088030476190476
440,1.9088030476190476
441,1.9088030476190476
442,1.9088030476190476
443,1.9088030476190476
444,1.9088030476190476
445,1.9088030476190476
446,1.9088030476190476
447,1.9088030476190476
448,1.9088030476190476
449,1.9088030476190476
450,1.9088030476190476
451,1.9088030476190476
452,1.9088030476190476
453,1.9088030476190476
454,1.9088030476190476
455,1.9088030476190476
456,1.9088030476190476
457,1.9088030476190476
458,1.9088030476190476
459,1.9088030476190476
460,1.9088030476190476
461,1.9088030476190476
462,1.9088030476190476
463,1.9088030476190476
464,1.9088030476190476
465,1.9088030476190476
466,1.9088030476190476
467,1.9088030476190476
468,1.9088030476190476
469,1.9088030476190476
470,1.9088030476190476
471,1.9088030476190476
472,1.9088030476190476
473,1.9088030476190476
474,1.9088030476190476
475,1.9088030476190476
476,1.9088030476190476
477,1.9088030476190476
478,1.9088030476190476
479,1.9088030476190476
480,1.9088030476190476
481,1.9088030476190476
482,1.9088030476190476
483,1.9088030476190476
484,1.9088030476190476
485,1.9088030476190476
486,1.9088030476190476
487,1.9088030476190476
488,1.9088030476190476
489,1.9088030476190476
490,1.9088030476190476
491,1.9088030476190476
492,1.9088030476190476
493,1.9088030476190476
494,1.9088030476190476
495,1.9088030476190476
496,1.9088030476190476
497,1.9088030476190476
498,1.9088030476190476
499,1.9088030476190476
